reviewer_id,reviewer_name_kr,reviewer_name_en,domain,summon_condition,base_weight,score_scale_min,score_scale_max,score_meaning,scoring_role,can_block,weight_source,weight_status,notes
REV001,소아 안전 심사관,pediatric_safety_reviewer,pediatric,target_population=='pediatric',0.30,0,10,품질/적합성 우수도(안전성 판정 아님),quality_ranking_only,no,team_internal_provisional,PROVISIONAL,
REV002,가용화 전략 심사관,solubilization_reviewer,biopharmaceutics,"enabling_candidates_present==True or particle_size_candidates_present==True or bcs_class in ['II','IV']",0.25,0,10,품질/적합성 우수도(안전성 판정 아님),quality_ranking_only,no,team_internal_provisional,PROVISIONAL,후보 전략 가족에서 소집 신호를 받는다(예측 BCS만으로도 enabling 후보가 생기면 소집). coating_required 조건은 v3에서 제거(범위 밖)
REV003,공정 실현성 심사관,process_feasibility_reviewer,process,always,0.25,0,10,품질/적합성 우수도(안전성 판정 아님),quality_ranking_only,no,team_internal_provisional,PROVISIONAL,
REV004,규제 취지 심사관,regulatory_intent_reviewer,regulatory,regulatory_narrative_needed==True,0.20,0,10,품질/적합성 우수도(안전성 판정 아님),quality_ranking_only,no,team_internal_provisional,PROVISIONAL,포장·안정성 관련 소집 신호가 사라져 v3에서는 소집 빈도가 낮아진다. 배합금기·소아 규제 해석에서는 여전히 발동 가능
REV005,문헌 조사 심사관,literature_reviewer,literature,novel_combination_not_in_rulebook==True or coverage_gap_present==True,0.20,0,10,품질/적합성 우수도(안전성 판정 아님),quality_ranking_only,no,team_internal_provisional,PROVISIONAL,룰북 커버리지가 없는 전략(ASD·HME·CD 공정)도 문헌 근거 조사 대상
REV006,고령자 안전 심사관,geriatric_safety_reviewer,geriatric,target_population=='geriatric',0.30,0,10,품질/적합성 우수도(안전성 판정 아님),quality_ranking_only,no,team_internal_provisional,PROVISIONAL,
REV007,고체상 안정성 심사관,solid_state_reviewer,solid_state,"asd_candidates_present==True or solid_form_zone in ['continuum','cocrystal_likely'] or salt_stability_watch==True",0.25,0,10,품질/적합성 우수도(안전성 판정 아님),quality_ranking_only,no,team_internal_provisional,PROVISIONAL,물리적 안정성 타당성(Tg 여유·재결정·상분리·불균등화·흡습) 상대 평가. 수치 Tg·ΔpKa는 derived에서 받아 인용만 한다
